Grounded,Time[secs],Forefoot Force[N],Midfoot Force[N],Heel Force[N],TForce[N],RAnkleFlexion,RAnkleInversion,RAnkleAbduction,Person
0,0.01,12.46,0,7.49,19.95,-12.50623,10.059899,15.861361,5
0,0.02,9.94,0,7.49,17.43,-11.49658,6.597506,13.884249,5
0,0.03,7.49,0,7.49,14.98,-8.923269,5.523084,14.42172,5
0,0.04,9.94,0,4.97,14.91,-6.236804,6.819977,14.715913,5
0,0.05,4.97,0,7.49,12.46,-5.005031,5.190674,13.955958,5
0,0.06,4.97,0,7.49,12.46,-2.956594,5.85386,13.705659,5
0,0.07,4.97,0,7.49,12.46,-3.616599,4.600445,12.402336,5
0,0.08,4.97,0,7.49,12.46,-1.205179,4.056352,14.348826,5
0,0.09,2.45,0,4.97,7.42,0.763436,4.968481,13.58075,5
0,0.1,2.45,0,7.49,9.94,1.125255,4.297091,14.652336,5
0,0.11,2.45,0,7.49,9.94,1.85954,3.692487,14.496842,5
0,0.12,0,0,4.97,4.97,2.761328,4.022518,14.252684,5
0,0.13,0,0,4.97,4.97,3.466636,3.691254,13.983535,5
0,0.14,0,0,5,5,4.055074,3.77268,14.561931,5
0,0.15,0,0,7.5,7.5,3.661411,3.451051,15.011985,5
0,0.16,0,0,5,5,-2.027968,0.753244,13.907467,5
0,0.17,0,0,5,5,2.815768,2.233938,14.588669,5
0,0.18,0,0,5,5,5.913874,3.885338,15.085813,5
0,0.19,0,0,5,5,5.414845,3.833875,15.267829,5
0,0.2,0,0,5,5,6.453639,3.400584,15.380508,5
0,0.21,0,0,5,5,6.252151,3.252891,15.156319,5
0,0.22,0,0,5,5,6.290273,3.581432,15.25826,5
0,0.23,0,0,5,5,6.553803,3.369485,15.228316,5
0,0.24,0,0,5,5,6.164303,3.54559,15.505198,5
0,0.25,0,0,2.5,2.5,7.194658,3.932577,15.496395,5
0,0.26,0,0,2.5,2.5,6.229083,2.9478,14.259519,5
0,0.27,5,2.5,5,12.5,6.040599,3.558779,14.831818,5
0,0.28,25,12.5,7.5,45,5.626657,3.360711,14.269568,5
0,0.29,36.14,16.68,6.95,59.77,4.7271,3.406994,14.54918,5
0,0.3,54.21,26.41,6.95,87.57,4.055087,3.127087,14.226208,5
0,0.31,66.72,31.97,6.95,105.64,2.556625,2.537793,14.621057,5
0,0.32,86.18,38.92,6.95,132.05,1.4302,1.485248,15.085021,5
0,0.33,109.81,47.26,6.95,164.02,1.863804,1.861732,16.344441,5
0,0.34,132.05,54.21,6.95,193.21,2.158051,2.272192,16.848,5
0,0.35,157.07,59.77,6.95,223.79,2.293972,2.068038,16.680157,5
0,0.36,186.26,63.94,6.95,257.15,2.310493,1.419232,15.641762,5
0,0.37,219.62,72.28,9.73,301.63,2.775455,1.294027,14.706452,5
0,0.38,251.59,73.67,9.73,334.99,2.495909,0.619126,14.320741,5
0,0.39,276.61,79.23,6.95,362.79,2.030349,-0.197009,14.23253,5
0,0.4,297.46,84.79,6.95,389.2,1.870634,-0.615278,14.308236,5
0,0.41,311.36,88.96,9.73,410.05,1.724055,-0.037566,14.478945,5
0,0.42,329.43,98.69,9.73,437.85,1.571146,-0.029354,14.556863,5
0,0.43,347.5,113.98,9.73,471.21,1.276999,0.665022,14.644734,5
0,0.44,376.74,132.48,8.28,517.5,1.064856,0.526969,14.484588,5
0,0.45,399.51,149.04,8.28,556.83,0.893458,0.439306,14.45534,5
0,0.46,422.28,171.81,6.21,600.3,0.522285,0.466323,14.444508,5
0,0.47,442.98,190.44,8.28,641.7,0.486567,0.200771,14.321532,5
