Grounded,Time[secs],Forefoot Force[N],Midfoot Force[N],Heel Force[N],TForce[N],RAnkleFlexion,RAnkleInversion,RAnkleAbduction,Person
1,0.01,289.8,201.6,239.4,730.8,-8.892079,2.947288,13.407838,6
1,0.02,282.24,201.6,249.48,733.32,-8.841607,2.915568,13.559279,6
1,0.03,274.68,201.6,257.04,733.32,-9.217183,2.682646,13.399142,6
1,0.04,267.12,201.6,267.12,735.84,-8.847225,2.843695,13.91466,6
1,0.05,259.56,199.08,269.64,728.28,-8.859621,2.779216,14.075662,6
1,0.06,252,196.56,274.68,723.24,-9.352723,2.533281,13.808795,6
1,0.07,244.44,194.04,279.72,718.2,-9.261247,2.435045,13.794961,6
1,0.08,234.72,191.52,289.44,715.68,-9.32401,2.375635,13.704,6
1,0.09,228.96,188.64,302.4,720,-9.387985,2.267188,13.517321,6
1,0.1,221.76,188.64,312.48,722.88,-9.499713,2.167953,13.595386,6
1,0.11,214.56,187.2,321.12,722.88,-9.65361,2.091008,13.616551,6
1,0.12,204.48,184.32,334.08,722.88,-9.814009,2.245493,13.710025,6
1,0.13,198.72,181.44,347.04,727.2,-9.675122,2.353487,13.881891,6
1,0.14,191.52,180,354.24,725.76,-9.566419,2.477701,14.066178,6
1,0.15,184.32,171.36,360,715.68,-9.978606,2.140151,13.668835,6
1,0.16,180,169.92,360,709.92,-10.132918,2.134212,13.618839,6
1,0.17,174.24,161.28,349.92,685.44,-10.229025,2.215152,13.647196,6
1,0.18,169.92,154.08,334.08,658.08,-10.175924,2.263908,13.765379,6
1,0.19,164.16,144,312.48,620.64,-10.153568,2.301625,13.929394,6
1,0.2,159.84,133.92,289.44,583.2,-9.496772,2.584779,14.448976,6
1,0.21,149.76,123.84,264.96,538.56,-9.597595,2.612047,14.494894,6
1,0.22,139.68,112.32,234.72,486.72,-9.762636,2.519138,14.427067,6
1,0.23,122.45,94.8,197.5,414.75,-9.339575,2.61862,14.936449,6
1,0.24,101.91,82.16,167.48,351.55,-9.10879,2.936771,14.873934,6
1,0.25,84.53,67.15,134.3,285.98,-8.996915,3.033198,14.883418,6
1,0.26,64.78,54.51,109.81,229.1,-9.003714,2.89433,14.795287,6
1,0.27,49.77,41.87,86.9,178.54,-8.707229,2.983847,14.929784,6
1,0.28,37.13,32.39,69.52,139.04,-8.406053,2.953949,14.992873,6
1,0.29,26.86,19.75,56.88,103.49,-8.018555,2.952225,15.089117,6
1,0.3,17.38,11.85,49.77,79,-7.321899,3.383022,15.230129,6
1,0.31,9.48,9.48,47.4,66.36,-7.465219,3.331511,14.682466,6
1,0.32,4.74,4.74,44.24,53.72,-6.832099,3.523332,14.608221,6
1,0.33,2.37,4.74,44.24,51.35,-6.54733,3.476751,14.676706,6
1,0.34,2.37,4.74,47.4,54.51,-6.431987,3.245688,14.384949,6
1,0.35,0,4.74,47.4,52.14,-6.208683,3.199568,14.244259,6
1,0.36,0,4.74,52.14,56.88,-5.603477,2.858941,13.890871,6
1,0.37,0,7.11,56.88,63.99,-4.873104,2.862822,13.613324,6
1,0.38,0,6.96,62.06,69.02,-4.449103,2.982887,13.309038,6
1,0.39,0,9.86,67.28,77.14,-3.971434,3.390481,13.228886,6
1,0.4,0,12.18,72.5,84.68,-3.481535,3.586276,13.340459,6
1,0.41,2.32,17.4,77.14,96.86,-3.175087,3.642256,13.374938,6
1,0.42,6.96,24.94,82.36,114.26,-2.679669,3.944667,13.766802,6
1,0.43,17.4,27.26,87,131.66,-3.187052,3.950079,13.405754,6
1,0.44,24.94,34.8,94.54,154.28,-3.714279,3.896438,12.717356,6
1,0.45,37.12,39.44,99.76,176.32,-4.095305,4.109596,12.2282,6
1,0.46,46.98,44.66,107.3,198.94,-4.775753,4.102648,11.841537,6
1,0.47,49.88,49.88,117.16,216.92,-4.949327,4.242571,11.752891,6
1,0.48,57.42,54.52,124.7,236.64,-5.39478,4.129489,11.977763,6
1,0.49,64.96,62.06,134.56,261.58,-6.059074,4.072246,12.44047,6
1,0.5,72.5,67.28,139.78,279.56,-6.464613,4.02366,12.586254,6
1,0.51,84.68,72.5,142.1,299.28,-6.903463,3.692897,12.474586,6
1,0.52,97.44,79.46,145,321.9,-7.243045,3.544431,12.286554,6
1,0.53,107.3,82.14,142.08,331.52,-7.087677,3.517696,12.113685,6
1,0.54,116.92,84.36,139.86,341.14,-7.228793,3.270216,12.06681,6
1,0.55,129.5,87.32,136.9,353.72,-7.671995,3.007387,11.733374,6
1,0.56,139.86,89.54,134.68,364.08,-7.712507,3.076093,11.682411,6
1,0.57,147.26,89.54,129.5,366.3,-7.83497,2.807792,11.682792,6
1,0.58,154.66,89.54,127.28,371.48,-7.949122,2.623422,11.782149,6
1,0.59,159.84,92.5,122.1,374.44,-8.077875,2.678687,11.705985,6
1,0.6,162.06,89.54,119.88,371.48,-8.070655,2.847571,11.641038,6
1,0.61,169.46,89.54,114.7,373.7,-8.166702,2.589217,11.669446,6
1,0.62,172.42,89.54,112.48,374.44,-8.286925,2.44829,11.669415,6
1,0.63,176.86,89.54,107.3,373.7,-8.28305,2.365695,11.681494,6
