Grounded,Time[secs],Forefoot Force[N],Midfoot Force[N],Heel Force[N],TForce[N],RAnkleFlexion,RAnkleInversion,RAnkleAbduction,Person
1,0.01,179.34,104.86,169.54,453.74,-13.919903,4.459367,13.135859,9
1,0.02,174.44,101.92,161.7,438.06,-13.520712,4.395576,13.268409,9
1,0.03,169.54,97.02,154.84,421.4,-13.665562,4.431415,12.902678,9
1,0.04,164.64,94.08,147,405.72,-13.634522,4.483413,12.60495,9
1,0.05,164.64,92.12,139.16,395.92,-13.670141,4.431503,12.35577,9
1,0.06,164.64,89.18,132.3,386.12,-13.60619,4.445978,12.127432,9
1,0.07,164.64,87.22,127.4,379.26,-13.626469,4.546656,11.906557,9
1,0.08,164.64,87.22,119.56,371.42,-13.848309,4.423549,11.766517,9
1,0.09,164.5,84.7,114.8,364,-13.818674,4.414273,11.600803,9
1,0.1,164.5,84.7,112,361.2,-13.759701,4.482591,11.479658,9
1,0.11,167.3,81.9,107.1,356.3,-13.578517,4.490762,11.324615,9
1,0.12,167.3,81.9,102.2,351.4,-13.531728,4.475614,11.232741,9
1,0.13,167.3,79.8,97.3,344.4,-13.50132,4.513057,11.145238,9
1,0.14,169.4,79.8,94.5,343.7,-13.612354,4.50883,10.963738,9
1,0.15,169.4,79.8,92.4,341.6,-13.941518,4.497739,10.818163,9
1,0.16,169.4,77,89.6,336,-13.830844,4.55043,10.81269,9
1,0.17,169.4,77,89.6,336,-13.885131,4.488723,10.822081,9
1,0.18,172.2,77,89.6,338.8,-13.773793,4.545572,10.79014,9
1,0.19,172.2,77,89.6,338.8,-13.776037,4.518303,10.911799,9
1,0.2,172.2,77,92.4,341.6,-13.749401,4.524494,11.025756,9
1,0.21,172.2,77,89.6,338.8,-13.392495,4.532655,11.263994,9
1,0.22,172.2,77,89.6,338.8,-13.256129,4.623496,11.168901,9
1,0.23,175,77,89.6,341.6,-13.124437,4.63902,11.168849,9
1,0.24,175,77,92.4,344.4,-13.415996,4.719932,11.023493,9
1,0.25,175,77,92.4,344.4,-13.40119,4.720225,11.142427,9
1,0.26,175,79.8,94.5,349.3,-13.429472,4.658216,11.205939,9
1,0.27,175,79.8,97.3,352.1,-13.422021,4.685169,11.268967,9
1,0.28,172.2,79.8,97.3,349.3,-13.099366,4.624335,11.439735,9
1,0.29,175,79.8,99.4,354.2,-13.085477,4.636356,11.490584,9
1,0.3,172.2,79.8,99.4,351.4,-13.13443,4.58125,11.593011,9
1,0.31,169.4,77,97.3,343.7,-13.201837,4.591349,11.769149,9
1,0.32,169.4,79.8,99.4,348.6,-13.330015,4.517739,11.942992,9
1,0.33,169.4,79.8,99.4,348.6,-13.258801,4.576873,11.944013,9
1,0.34,167.3,79.8,102.2,349.3,-13.398526,4.593557,11.813691,9
1,0.35,167.3,79.8,105,352.1,-13.146173,4.56038,11.673635,9
1,0.36,167.3,79.8,107.1,354.2,-13.191195,4.58637,11.694907,9
1,0.37,164.5,79.8,107.1,351.4,-13.215753,4.55833,11.720804,9
1,0.38,164.5,81.9,112,358.4,-13.206098,4.585551,11.711262,9
1,0.39,164.82,82.41,114.57,361.8,-13.169069,4.581202,11.715018,9
1,0.4,162.14,82.41,117.25,361.8,-13.214343,4.520739,11.75501,9
1,0.41,162.14,84.42,119.93,366.49,-13.200905,4.515753,11.778456,9
1,0.42,162.14,84.42,119.93,366.49,-13.200101,4.526293,11.791123,9
1,0.43,164.82,84.42,124.62,373.86,-13.209423,4.483464,11.775669,9
1,0.44,162.14,87.1,124.62,373.86,-13.226442,4.428003,11.806849,9
1,0.45,162.14,87.1,127.3,376.54,-13.213726,4.460958,11.789038,9
1,0.46,164.82,87.1,127.3,379.22,-13.206634,4.443662,11.768396,9
1,0.47,162.14,87.1,127.3,376.54,-13.208306,4.498781,11.841435,9
1,0.48,164.82,87.1,127.3,379.22,-13.23748,4.430647,11.901535,9
1,0.49,164.82,87.1,127.3,379.22,-13.221806,4.500557,11.892434,9
1,0.5,164.82,87.1,127.3,379.22,-13.240504,4.436859,11.915452,9
1,0.51,164.82,87.1,129.98,381.9,-13.267082,4.479999,11.963092,9
1,0.52,167.5,87.1,129.98,384.58,-13.249569,4.472789,11.971005,9
1,0.53,167.5,89.78,129.98,387.26,-13.241763,4.520908,12.047521,9
1,0.54,167.04,90,132.48,389.52,-13.307208,4.487468,12.075045,9
1,0.55,169.92,90,129.6,389.52,-13.321897,4.52042,12.100876,9
1,0.56,172.08,90,129.6,391.68,-13.350996,4.524032,12.107802,9
1,0.57,172.08,90,129.6,391.68,-13.357953,4.528933,12.146635,9
1,0.58,172.08,90,129.6,391.68,-13.312477,4.489799,12.151147,9
1,0.59,172.08,90,127.44,389.52,-13.299204,4.529514,12.174,9
1,0.6,177.12,92.16,127.44,396.72,-13.322757,4.548551,12.175065,9
1,0.61,177.12,92.16,127.44,396.72,-13.233837,4.515865,12.1919,9
1,0.62,180,92.16,124.56,396.72,-13.223942,4.446055,12.250543,9
1,0.63,180,92.16,124.56,396.72,-13.151482,4.414427,12.332219,9
1,0.64,180,92.16,124.56,396.72,-13.162983,4.416966,12.384919,9
1,0.65,177.12,92.16,122.4,391.68,-13.154514,4.378764,12.428104,9
1,0.66,180,90,122.4,392.4,-13.060979,4.479586,12.320929,9
1,0.67,180,90,122.4,392.4,-13.080035,4.456164,12.352766,9
1,0.68,177.12,92.16,122.4,391.68,-13.056949,4.38372,12.306402,9
1,0.69,180,92.16,124.56,396.72,-13.044227,4.47233,12.34024,9
1,0.7,180,92.16,124.56,396.72,-12.966783,4.381055,12.301228,9
1,0.71,180,92.16,127.44,399.6,-12.99442,4.388889,12.294848,9
1,0.72,180,92.16,127.44,399.6,-13.019015,4.312722,12.326456,9
1,0.73,180,92.16,127.44,399.6,-12.96918,4.313248,12.378169,9
1,0.74,177.12,92.16,127.44,396.72,-12.971188,4.281776,12.349371,9
1,0.75,180,92.16,127.44,399.6,-12.963785,4.313938,12.379501,9
1,0.76,177.12,92.16,129.6,398.88,-12.99992,4.283432,12.341648,9
1,0.77,177.12,92.16,129.6,398.88,-12.959621,4.305187,12.313863,9
1,0.78,174.96,92.16,132.48,399.6,-12.966891,4.264844,12.316461,9
1,0.79,177.12,92.16,132.48,401.76,-12.933509,4.27334,12.304537,9
1,0.8,174.96,92.16,132.48,399.6,-12.93921,4.223836,12.3033,9
1,0.81,174.96,92.16,132.48,399.6,-12.942894,4.25244,12.3562,9
1,0.82,174.96,92.16,132.48,399.6,-12.91147,4.275645,12.359277,9
1,0.83,174.96,92.16,129.6,396.72,-12.908454,4.255409,12.350191,9
1,0.84,175,92.4,132.3,399.7,-12.947081,4.300193,12.397409,9
1,0.85,172.2,92.4,132.3,396.9,-12.924544,4.286809,12.380287,9
1,0.86,172.2,92.4,134.4,399,-12.937703,4.267096,12.350063,9
1,0.87,172.2,92.4,134.4,399,-12.963621,4.282218,12.342533,9
1,0.88,172.2,92.4,134.4,399,-12.977881,4.212196,12.30942,9
1,0.89,172.2,92.4,134.4,399,-12.978089,4.243497,12.361145,9
1,0.9,172.2,92.4,134.4,399,-12.953543,4.250286,12.37492,9
1,0.91,172.2,92.4,134.4,399,-12.950603,4.235126,12.372857,9
1,0.92,172.2,92.4,137.2,401.8,-12.973677,4.277535,12.388828,9
1,0.93,169.4,92.4,137.2,399,-12.953702,4.269247,12.391614,9
1,0.94,169.4,92.4,137.2,399,-13.018179,4.26158,12.347354,9
1,0.95,169.4,92.4,137.2,399,-13.014473,4.268134,12.341974,9
1,0.96,172.2,92.4,137.2,401.8,-12.986449,4.248186,12.327151,9
1,0.97,169.4,92.4,140,401.8,-12.996651,4.25391,12.34741,9
1,0.98,169.4,92.4,140,401.8,-13.000491,4.277731,12.342026,9
1,0.99,170,92.48,139.4,401.88,-12.964793,4.336444,12.342176,9
1,1,170,92.48,139.4,401.88,-13.052205,4.257092,12.322172,9
1,1.01,167.28,92.48,139.4,399.16,-13.046835,4.278268,12.334393,9
1,1.02,170,92.48,139.4,401.88,-13.028447,4.258261,12.318625,9
1,1.03,170,92.48,139.4,401.88,-13.001018,4.255929,12.30749,9
