Grounded,Time[secs],Forefoot Force[N],Midfoot Force[N],Heel Force[N],TForce[N],RAnkleFlexion,RAnkleInversion,RAnkleAbduction,Person
1,0.01,205,117.26,169.74,492,-10.199811,2.282784,13.518884,3
1,0.02,201.72,107.42,141.86,451,-9.875574,2.399638,13.546882,3
1,0.03,196.8,94.3,117.26,408.36,-9.911064,2.320899,13.704884,3
1,0.04,194.34,84.46,96.76,375.56,-9.817254,2.495383,13.647929,3
1,0.05,191.88,74.62,79.54,346.04,-9.704572,2.422755,13.778266,3
1,0.06,186.96,64.78,64.78,316.52,-9.403548,2.702594,13.88558,3
1,0.07,179.58,59.86,52.48,291.92,-9.423191,2.768267,14.041107,3
1,0.08,177.12,54.94,46.74,278.8,-9.281385,2.78823,14.247563,3
1,0.09,169.74,46.74,39.36,255.84,-9.122044,3.0477,14.425502,3
1,0.1,167.28,44.28,34.44,246,-9.197816,3.196612,14.472613,3
1,0.11,159.9,41.82,31.98,233.7,-9.168801,3.327513,14.548286,3
1,0.12,157.44,39.36,27.06,223.86,-9.149488,3.594544,14.712798,3
1,0.13,154.98,39.36,27.06,221.4,-9.134114,3.659623,14.997812,3
1,0.14,149.24,44.28,29.52,223.04,-9.245438,3.758564,15.033219,3
1,0.15,149.24,46.74,34.44,230.42,-9.271127,3.791926,15.042394,3
1,0.16,147.18,49.5,42.24,238.92,-9.18551,3.920724,15.002315,3
1,0.17,147.18,54.78,49.5,251.46,-9.18708,4.002185,14.919208,3
1,0.18,152.46,59.4,57.42,269.28,-9.164014,4.004009,14.824609,3
1,0.19,154.44,62.04,64.68,281.16,-9.217577,3.893691,14.645749,3
1,0.2,159.72,64.68,69.96,294.36,-9.144771,3.698122,14.521803,3
1,0.21,159.72,67.32,77.22,304.26,-9.063783,3.70288,14.557195,3
1,0.22,159.72,69.96,82.5,312.18,-9.118289,3.649061,14.590164,3
1,0.23,159.72,74.58,92.4,326.7,-9.125329,3.584172,14.672626,3
1,0.24,154.44,77.22,102.3,333.96,-9.18206,3.573657,14.807313,3
1,0.25,152.46,82.5,112.2,347.16,-9.133989,3.621425,14.923758,3
1,0.26,147.18,84.48,124.74,356.4,-9.092172,3.601944,14.867024,3
1,0.27,141.9,87.12,134.64,363.66,-9.067441,3.600574,14.759267,3
1,0.28,134.64,89.76,147.18,371.58,-9.0268,3.568933,14.684273,3
1,0.29,127.38,89.76,157.08,374.22,-8.952853,3.556614,14.707033,3
1,0.3,122.1,89.76,165,376.86,-8.901352,3.604956,14.724889,3
1,0.31,109.6,87.2,172,368.8,-8.902853,3.549603,14.691187,3
1,0.32,100,84.8,182.4,367.2,-8.874176,3.507993,14.554428,3
1,0.33,89.6,82.4,192,364,-8.416593,2.568129,13.863077,3
1,0.34,84.8,80,200,364.8,-8.716926,3.537047,14.352381,3
1,0.35,84.8,82.4,200,367.2,-8.623303,3.60768,14.341076,3
1,0.36,87.2,82.4,194.4,364,-8.595639,3.597411,14.340671,3
1,0.37,89.6,82.4,187.2,359.2,-8.44629,3.366788,14.189474,3
1,0.38,94.4,82.4,172,348.8,-8.33674,3.627567,14.29271,3
1,0.39,96.8,84.8,156.8,338.4,-8.401188,3.528548,14.314321,3
1,0.4,107.2,84.8,142.4,334.4,-8.396455,3.478858,14.24556,3
1,0.41,120,87.2,124.8,332,-8.474432,3.737101,14.36108,3
1,0.42,132,87.2,104.8,324,-8.534853,3.937093,14.643603,3
1,0.43,147.2,87.2,89.6,324,-8.416022,4.274298,14.728999,3
1,0.44,156.8,87.2,74.4,318.4,-8.416561,4.398102,14.686148,3
1,0.45,169.6,87.2,64.8,321.6,-8.534056,4.504899,14.642811,3
1,0.46,179.27,84.63,51.87,315.77,-7.912555,3.495493,13.803509,3
1,0.47,189.28,84.63,47.32,321.23,-7.835094,3.782203,13.799745,3
1,0.48,199.29,81.9,39.13,320.32,-7.864853,3.785833,13.559543,3
1,0.49,207.48,81.9,37.31,326.69,-7.891088,3.937197,13.4656,3
1,0.5,214.76,81.9,37.31,333.97,-8.296813,3.823691,13.348073,3
1,0.51,222.04,84.63,37.31,343.98,-8.216898,3.923039,13.233081,3
1,0.52,224.77,84.63,37.31,346.71,-8.200554,4.127355,13.205953,3
1,0.53,227.5,87.36,41.86,356.72,-8.289377,4.276009,13.084249,3
1,0.54,224.77,87.36,44.59,356.72,-8.149058,4.374858,12.81709,3
1,0.55,222.04,89.18,51.87,363.09,-8.393097,4.237833,12.858714,3
1,0.56,212.03,91.91,61.88,365.82,-8.534021,3.965878,12.812877,3
1,0.57,202.02,91.91,74.62,368.55,-8.598554,3.9107,12.640323,3
1,0.58,189.28,94.64,89.18,373.1,-8.762084,3.706258,12.216207,3
1,0.59,177.45,97.37,109.2,384.02,-8.626579,3.245476,12.072038,3
1,0.6,164.71,99.19,131.95,395.85,-8.571045,2.919662,11.702463,3
1,0.61,149.6,100,152,401.6,-8.903951,2.571763,11.346073,3
1,0.62,136.8,96.8,164.8,398.4,-8.961843,2.379065,11.354334,3
1,0.63,127.2,96.8,180,404,-8.916032,2.317799,11.101668,3
1,0.64,120,94.4,187.2,401.6,-9.090638,1.977285,10.989058,3
1,0.65,114.4,92,194.4,400.8,-9.300478,1.7966,10.686778,3
1,0.66,109.6,89.6,196.8,396,-9.361356,1.823895,10.470993,3
1,0.67,107.2,89.6,200,396.8,-9.364687,1.743434,10.299375,3
1,0.68,107.2,87.2,196.8,391.2,-9.351527,1.730639,10.145167,3
1,0.69,104.8,84.8,196.8,386.4,-9.443471,1.630427,10.14939,3
1,0.7,104.8,84.8,194.4,384,-9.375454,1.760722,10.308387,3
1,0.71,104.8,84.8,194.4,384,-9.366873,1.813827,10.450526,3
1,0.72,104.8,82.4,192,379.2,-9.470939,1.820752,10.603529,3
1,0.73,104.8,82.4,189.6,376.8,-9.44696,1.873442,10.659081,3
1,0.74,104.8,80,189.6,374.4,-9.413731,1.885859,10.715379,3
1,0.75,104.8,80,189.6,374.4,-9.444294,1.864829,10.686873,3
1,0.76,107.25,82.5,187.5,377.25,-9.349288,1.851613,10.68024,3
1,0.77,107.25,82.5,187.5,377.25,-9.382574,1.779687,10.68791,3
1,0.78,107.25,82.5,187.5,377.25,-9.39881,1.823503,10.737128,3
1,0.79,107.25,82.5,184.5,374.25,-9.314868,1.883274,10.856878,3
1,0.8,109.5,82.5,182.25,374.25,-9.364489,1.814184,10.921212,3
1,0.81,109.5,82.5,184.5,376.5,-9.193786,1.923773,10.940656,3
1,0.82,109.5,82.5,182.25,374.25,-9.38236,1.928706,11.116074,3
